Location	year	month	day	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]	lambda12 [?m]	transmission12 [%/100]	lambda13 [?m]	transmission13 [%/100]	lambda14 [?m]	transmission14 [%/100]	lambda15 [?m]	transmission15 [%/100]	lambda16 [?m]	transmission16 [%/100]	lambda17 [?m]	transmission17 [%/100]	lambda18 [?m]	transmission18 [%/100]	lambda19 [?m]	transmission19 [%/100]	lambda20 [?m]	transmission20 [%/100]	lambda21 [?m]	transmission21 [%/100]	lambda22 [?m]	transmission22 [%/100]	lambda23 [?m]	transmission23 [%/100]	lambda24 [?m]	transmission24 [%/100]	lambda25 [?m]	transmission25 [%/100]	lambda26 [?m]	transmission26 [%/100]	lambda27 [?m]	transmission27 [%/100]	lambda28 [?m]	transmission28 [%/100]	lambda29 [?m]	transmission29 [%/100]	lambda30 [?m]	transmission30 [%/100]	lambda31 [?m]	transmission31 [%/100]	lambda32 [?m]	transmission32 [%/100]	lambda33 [?m]	transmission33 [%/100]	lambda34 [?m]	transmission34 [%/100]	lambda35 [?m]	transmission35 [%/100]	lambda36 [?m]	transmission36 [%/100]	lambda37 [?m]	transmission37 [%/100]	lambda38 [?m]	transmission38 [%/100]	lambda39 [?m]	transmission39 [%/100]	lambda40 [?m]	transmission40 [%/100]	lambda41 [?m]	transmission41 [%/100]	lambda42 [?m]	transmission42 [%/100]	lambda43 [?m]	transmission43 [%/100]	lambda44 [?m]	transmission44 [%/100]
Washington	1905	10	4	0.387	-999	0.39	0.507	0.3942	0.631	0.3987	0.643	0.4037	0.631	0.4091	0.617	0.4147	0.631	0.421	-999	0.4275	0.617	0.4343	0.65	0.4417	0.646	0.4494	0.676	0.4578	0.69	0.4666	0.684	0.4762	0.692	0.4861	0.725	0.4974	0.743	0.5094	0.736	0.5226	0.74	0.537	0.746	0.5525	0.75	0.5697	0.759	0.5889	0.776	0.6098	0.779	0.6333	0.771	0.661	0.759	0.6925	0.811	0.728	0.824	0.769	0.826	0.818	0.832	0.877	0.851	0.946	0.863	1.034	0.873	1.127	0.881	1.239	0.881	1.367	0.885	1.508	0.897	1.648	0.951	1.786	0.938	1.924	0.925	2.06	0.891	2.196	0.885	2.316	0.975	2.428	-999
Washington	1905	11	1	0.387	-999	0.39	-999	0.3942	-999	0.3987	-999	0.4037	0.586	0.4091	0.575	0.4147	0.575	0.421	0.581	0.4275	0.631	0.4343	0.652	0.4417	0.678	0.4494	0.655	0.4578	0.67	0.4666	0.67	0.4762	0.681	0.4861	0.708	0.4974	0.71	0.5094	0.745	0.5226	0.746	0.537	0.769	0.5525	0.78	0.5697	0.776	0.5889	0.783	0.6098	0.782	0.6333	0.807	0.661	0.826	0.6925	0.865	0.728	0.875	0.769	0.893	0.818	0.916	0.877	0.933	0.946	0.933	1.034	0.955	1.127	0.962	1.239	0.973	1.367	0.955	1.508	0.982	1.648	0.971	1.786	0.964	1.924	0.938	2.06	0.959	2.196	0.962	2.316	0.916	2.428	0.798
Washington	1905	12	4	0.387	-999	0.39	-999	0.3942	-999	0.3987	0.589	0.4037	0.601	0.4091	0.611	0.4147	0.604	0.421	0.586	0.4275	0.598	0.4343	0.641	0.4417	0.641	0.4494	0.637	0.4578	0.655	0.4666	0.664	0.4762	0.674	0.4861	0.697	0.4974	0.711	0.5094	0.718	0.5226	0.724	0.537	0.726	0.5525	0.711	0.5697	0.708	0.5889	0.726	0.6098	0.733	0.6333	0.741	0.661	0.76	0.6925	0.794	0.728	0.817	0.769	0.83	0.818	0.849	0.877	0.879	0.946	0.893	1.034	0.916	1.127	0.935	1.239	0.923	1.367	0.933	1.508	-999	1.648	0.962	1.786	0.962	1.924	0.97	2.06	0.84	2.196	0.982	2.316	0.977	2.428	0.975
Washington	1906	2	15	0.387	0.478	0.39	0.447	0.3942	0.508	0.3987	0.492	0.4037	0.513	0.4091	0.542	0.4147	0.565	0.421	0.603	0.4275	0.617	0.4343	0.615	0.4417	0.64	0.4494	0.628	0.4578	0.64	0.4666	0.69	0.4762	0.718	0.4861	0.711	0.4974	0.714	0.5094	0.711	0.5226	0.736	0.537	0.746	0.5525	0.764	0.5697	0.762	0.5889	0.782	0.6098	0.805	0.6333	0.811	0.661	0.811	0.6925	0.845	0.728	0.861	0.769	0.885	0.818	0.897	0.877	0.906	0.946	0.918	1.034	0.923	1.127	0.916	1.239	0.91	1.367	0.916	1.508	0.942	1.648	0.923	1.786	0.912	1.924	0.312	2.06	0.871	2.196	0.867	2.316	0.863	2.428	0.83
Washington	1906	5	29	0.387	-999	0.39	0.284	0.3942	0.347	0.3987	0.36	0.4037	0.483	0.4091	0.468	0.4147	0.51	0.421	0.581	0.4275	0.583	0.4343	0.604	0.4417	0.622	0.4494	0.612	0.4578	0.612	0.4666	0.634	0.4762	0.695	0.4861	0.736	0.4974	0.741	0.5094	0.769	0.5226	0.745	0.537	0.734	0.5525	0.766	0.5697	0.771	0.5889	0.789	0.6098	0.818	0.6333	0.861	0.661	0.883	0.6925	0.895	0.728	0.897	0.769	0.889	0.818	0.891	0.877	0.904	0.946	0.9	1.034	0.92	1.127	0.942	1.239	0.948	1.367	0.953	1.508	0.94	1.648	0.927	1.786	0.887	1.924	0.914	2.06	0.938	2.196	0.935	2.316	0.929	2.428	0.935
Washington	1906	11	6	0.387	-999	0.39	-999	0.3942	-999	0.3987	0.582	0.4037	0.646	0.4091	0.646	0.4147	0.589	0.421	0.617	0.4275	0.603	0.4343	0.589	0.4417	0.692	0.4494	0.733	0.4578	0.698	0.4666	0.708	0.4762	0.684	0.4861	0.718	0.4974	0.702	0.5094	0.686	0.5226	0.759	0.537	0.773	0.5525	0.815	0.5697	0.826	0.5889	0.843	0.6098	0.879	0.6333	0.897	0.661	0.9	0.6925	0.927	0.728	0.933	0.769	0.942	0.818	0.935	0.877	0.933	0.946	0.925	1.034	0.916	1.127	0.925	1.239	0.923	1.367	0.948	1.508	0.959	1.648	0.953	1.786	0.962	1.924	0.938	2.06	0.938	2.196	0.948	2.316	-999	2.428	-999
Washington	1906	11	22	0.387	-999	0.39	0.579	0.3942	0.549	0.3987	0.567	0.4037	0.615	0.4091	0.673	0.4147	0.668	0.421	0.676	0.4275	0.714	0.4343	0.738	0.4417	0.759	0.4494	0.755	0.4578	0.782	0.4666	0.782	0.4762	0.804	0.4861	0.793	0.4974	0.824	0.5094	0.822	0.5226	0.836	0.537	0.843	0.5525	0.861	0.5697	0.861	0.5889	0.861	0.6098	0.871	0.6333	0.891	0.661	0.893	0.6925	0.938	0.728	0.933	0.769	0.955	0.818	0.942	0.877	0.951	0.946	0.957	1.034	0.968	1.127	0.968	1.239	0.977	1.367	0.966	1.508	0.942	1.648	0.955	1.786	0.959	1.924	0.984	2.06	0.912	2.196	0.918	2.316	0.883	2.428	0.918
Washington	1907	2	15	0.387	-999	0.39	-999	0.3942	0.708	0.3987	0.773	0.4037	0.718	0.4091	0.728	0.4147	0.741	0.421	0.785	0.4275	0.736	0.4343	0.734	0.4417	0.746	0.4494	0.766	0.4578	0.782	0.4666	0.818	0.4762	0.836	0.4861	0.826	0.4974	0.837	0.5094	0.837	0.5226	0.845	0.537	0.832	0.5525	0.843	0.5697	0.845	0.5889	0.863	0.6098	0.875	0.6333	0.875	0.661	0.916	0.6925	0.899	0.728	0.91	0.769	0.925	0.818	0.935	0.877	0.938	0.946	0.942	1.034	0.968	1.127	0.957	1.239	0.955	1.367	0.951	1.508	0.955	1.648	957	1.786	0.948	1.924	0.902	2.06	0.929	2.196	0.933	2.316	0.925	2.428	0.908
Washington	1907	5	13	0.387	-999	0.39	0.389	0.3942	0.513	0.3987	0.544	0.4037	0.556	0.4091	0.525	0.4147	0.522	0.421	0.528	0.4275	0.522	0.4343	0.514	0.4417	0.57	0.4494	0.585	0.4578	0.607	0.4666	0.627	0.4762	0.667	0.4861	0.673	0.4974	0.687	0.5094	0.676	0.5226	0.671	0.537	0.664	0.5525	0.682	0.5697	0.69	0.5889	0.661	0.6098	0.771	0.6333	0.757	0.661	0.807	0.6925	0.82	0.728	0.838	0.769	0.847	0.818	0.849	0.877	0.881	0.946	0.908	1.034	0.935	1.127	0.977	1.239	0.938	1.367	0.927	1.508	0.914	1.648	0.889	1.786	0.869	1.924	0.897	2.06	0.895	2.196	0.91	2.316	0.78	2.428	0.441
Washington	1907	5	14	0.387	0.327	0.39	0.421	0.3942	0.463	0.3987	0.461	0.4037	0.468	0.4091	0.492	0.4147	0.506	0.421	0.547	0.4275	0.532	0.4343	0.573	0.4417	0.592	0.4494	0.537	0.4578	0.552	0.4666	0.594	0.4762	0.597	0.4861	0.583	0.4974	0.619	0.5094	0.649	0.5226	0.65	0.537	0.673	0.5525	0.705	0.5697	0.686	0.5889	0.711	0.6098	0.705	0.6333	0.755	0.661	0.759	0.6925	0.773	0.728	0.794	0.769	0.802	0.818	0.828	0.877	0.84	0.946	0.855	1.034	0.879	1.127	0.883	1.239	0.912	1.367	0.953	1.508	0.977	1.648	0.982	1.786	-999	1.924	-999	2.06	-999	2.196	-999	2.316	-999	2.428	-999
