Location	year	month	day	a.m/p.m	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]
Hump Mountain	1917	6	17	-999	0.355	0.564	0.403	0.716	0.46	0.804	0.511	0.845	0.637	0.9	0.702	0.937	0.83	0.963	1.008	0.97	1.244	0.981	1.61	0.984
Hump Mountain	1917	6	18	-999	0.355	0.619	0.403	0.672	0.46	0.754	0.511	0.769	0.637	0.847	0.702	0.89	0.83	0.929	1.008	0.957	1.244	0.965	1.61	0.96
Hump Mountain	1917	6	30	-999	0.355	0.562	0.403	0.678	0.46	0.764	0.511	0.825	0.637	0.877	0.702	0.908	0.83	0.948	1.008	0.95	1.244	0.952	1.61	0.979
Hump Mountain	1917	7	1	-999	0.355	0.593	0.403	0.656	0.46	0.761	0.511	0.812	0.637	0.858	0.702	0.903	0.83	0.939	1.008	0.954	1.244	0.961	1.61	0.962
Hump Mountain	1917	7	2	-999	0.355	0.505	0.403	0.617	0.46	0.708	0.511	0.775	0.637	0.832	0.702	0.875	0.83	0.93	1.008	0.945	1.244	0.939	1.61	0.976
Hump Mountain	1917	8	4	-999	0.355	0.564	0.403	0.654	0.46	0.746	0.511	0.799	0.637	0.856	0.702	0.895	0.83	0.939	1.008	0.944	1.244	0.94	1.61	0.969
Hump Mountain	1917	8	6	-999	0.355	0.466	0.403	0.575	0.46	0.669	0.511	0.717	0.637	0.814	0.702	0.864	0.83	0.924	1.008	0.942	1.244	0.945	1.61	0.973
Hump Mountain	1917	8	11	-999	0.355	0.472	0.403	0.532	0.46	0.648	0.511	0.708	0.637	0.801	0.702	0.855	0.83	0.89	1.008	0.931	1.244	0.943	1.61	0.966
Hump Mountain	1917	8	18	-999	0.355	0.625	0.403	0.69	0.46	0.791	0.511	0.845	0.637	0.89	0.702	0.932	0.83	0.956	1.008	0.971	1.244	0.978	1.61	0.985
Hump Mountain	1917	8	25	-999	0.355	0.544	0.403	0.641	0.46	0.734	0.511	0.794	0.637	0.865	0.702	0.894	0.83	0.92	1.008	0.932	1.244	0.936	1.61	0.976
Hump Mountain	1917	8	26	-999	0.355	0.605	0.403	0.718	0.46	0.815	0.511	0.858	0.637	0.897	0.702	0.943	0.83	0.965	1.008	0.976	1.244	0.97	1.61	0.974
Hump Mountain	1917	8	28	-999	0.355	0.5	0.403	0.583	0.46	0.704	0.511	0.735	0.637	0.815	0.702	0.857	0.83	0.91	1.008	0.929	1.244	0.943	1.61	0.964
Hump Mountain	1917	9	12	-999	0.355	0.607	0.403	0.7	0.46	0.806	0.511	0.849	0.637	0.888	0.702	0.916	0.83	0.948	1.008	0.969	1.244	0.974	1.61	0.978
Hump Mountain	1917	9	13	-999	0.355	0.585	0.403	0.698	0.46	0.792	0.511	0.849	0.637	0.887	0.702	0.928	0.83	0.957	1.008	0.965	1.244	0.97	1.61	0.977
Hump Mountain	1917	9	18	-999	0.355	0.541	0.403	0.676	0.46	0.788	0.511	0.83	0.637	0.882	0.702	0.921	0.83	0.955	1.008	0.968	1.244	0.965	1.61	0.98
Hump Mountain	1917	9	26	-999	0.355	0.558	0.403	0.67	0.46	0.769	0.511	0.825	0.637	0.882	0.702	0.916	0.83	0.953	1.008	0.959	1.244	0.959	1.61	0.936
Hump Mountain	1917	10	2	-999	0.355	0.562	0.403	0.71	0.46	0.804	0.511	0.856	0.637	0.908	0.702	0.942	0.83	0.964	1.008	0.973	1.244	0.966	1.61	0.98
Hump Mountain	1917	10	3	-999	0.355	0.554	0.403	0.67	0.46	0.778	0.511	0.813	0.637	0.873	0.702	0.922	0.83	0.951	1.008	0.97	1.244	0.963	1.61	0.987
Hump Mountain	1917	10	5	-999	0.355	0.591	0.403	0.738	0.46	0.802	0.511	0.853	0.637	0.9	0.702	0.935	0.83	0.959	1.008	0.963	1.244	0.961	1.61	0.983
Hump Mountain	1917	10	10	-999	0.355	0.556	0.403	0.681	0.46	0.788	0.511	0.829	0.637	0.89	0.702	0.927	0.83	0.963	1.008	0.974	1.244	0.973	1.61	0.967
Hump Mountain	1917	10	13	-999	0.355	0.595	0.403	0.715	0.46	0.8	0.511	0.855	0.637	0.9	0.702	0.93	0.83	0.96	1.008	0.973	1.244	0.976	1.61	0.985
Hump Mountain	1917	10	14	-999	0.355	0.503	0.403	0.646	0.46	0.771	0.511	0.801	0.637	0.875	0.702	0.911	0.83	0.953	1.008	0.96	1.244	0.961	1.61	0.985
Hump Mountain	1917	10	15	-999	0.355	0.513	0.403	0.62	0.46	0.74	0.511	0.79	0.637	0.84	0.702	0.895	0.83	0.927	1.008	0.961	1.244	0.961	1.61	0.985
Hump Mountain	1917	10	16	-999	0.355	0.563	0.403	0.696	0.46	0.781	0.511	0.839	0.637	0.888	0.702	0.935	0.83	0.955	1.008	0.9655	1.244	0.964	1.61	0.975
Hump Mountain	1917	10	20	-999	0.355	0.552	0.403	0.661	0.46	0.774	0.511	0.833	0.637	0.885	0.702	0.912	0.83	0.947	1.008	0.959	1.244	0.956	1.61	0.981
Hump Mountain	1917	10	21	-999	0.355	0.59	0.403	0.727	0.46	0.821	0.511	0.866	0.637	0.911	0.702	0.94	0.83	0.97	1.008	0.98	1.244	0.972	1.61	0.984
Hump Mountain	1917	10	22	-999	0.355	0.54	0.403	0.683	0.46	0.787	0.511	0.828	0.637	0.871	0.702	0.921	0.83	0.939	1.008	0.96	1.244	0.959	1.61	0.981
Hump Mountain	1917	10	28	-999	0.355	0.559	0.403	0.74	0.46	0.823	0.511	0.855	0.637	0.91	0.702	0.939	0.83	0.969	1.008	0.971	1.244	0.967	1.61	0.98
Hump Mountain	1917	11	4	-999	0.355	0.565	0.403	0.7	0.46	0.808	0.511	0.868	0.637	0.91	0.702	0.941	0.83	0.968	1.008	0.978	1.244	0.974	1.61	0.99
Hump Mountain	1917	11	5	-999	0.355	0.607	0.403	0.71	0.46	0.806	0.511	0.86	0.637	0.902	0.702	0.937	0.83	0.964	1.008	0.972	1.244	0.968	1.61	0.976
Hump Mountain	1917	11	6	-999	0.355	0.6	0.403	0.693	0.46	0.798	0.511	0.863	0.637	0.91	0.702	0.953	0.83	0.959	1.008	0.98	1.244	0.971	1.61	0.982
Hump Mountain	1917	11	7	-999	0.355	0.55	0.403	0.62	0.46	0.725	0.511	0.781	0.637	0.841	0.702	0.885	0.83	0.925	1.008	0.951	1.244	0.961	1.61	0.972
Hump Mountain	1917	11	8	-999	0.355	0.539	0.403	0.7	0.46	0.801	0.511	0.84	0.637	0.89	0.702	0.925	0.83	0.957	1.008	0.972	1.244	0.972	1.61	0.978
Hump Mountain	1917	11	9	-999	0.355	0.474	0.403	0.574	0.46	0.656	0.511	0.759	0.637	0.787	0.702	0.842	0.83	0.898	1.008	0.932	1.244	0.948	1.61	0.953
Hump Mountain	1917	11	10	-999	0.355	0.553	0.403	0.662	0.46	0.745	0.511	0.765	0.637	0.845	0.702	0.89	0.83	0.918	1.008	0.945	1.244	0.953	1.61	0.964
Hump Mountain	1917	11	11	-999	0.355	0.568	0.403	0.65	0.46	0.736	0.511	0.802	0.637	0.873	0.702	0.91	0.83	0.948	1.008	0.959	1.244	0.947	1.61	0.968
Hump Mountain	1917	11	15	-999	0.355	0.505	0.403	0.66	0.46	0.762	0.511	0.836	0.637	0.871	0.702	0.896	0.83	0.942	1.008	0.957	1.244	0.961	1.61	0.976
Hump Mountain	1917	11	17	-999	0.355	0.585	0.403	0.718	0.46	0.81	0.511	0.855	0.637	0.901	0.702	0.932	0.83	0.961	1.008	0.965	1.244	0.971	1.61	0.978
Hump Mountain	1917	11	18	-999	0.355	0.588	0.403	0.822	0.46	0.813	0.511	0.855	0.637	0.905	0.702	0.942	0.83	0.966	1.008	0.974	1.244	0.974	1.61	0.99
Hump Mountain	1917	11	26	-999	0.355	0.555	0.403	0.67	0.46	0.77	0.511	0.827	0.637	0.87	0.702	0.915	0.83	0.942	1.008	0.961	1.244	0.961	1.61	0.978
Hump Mountain	1917	12	17	-999	0.355	0.603	0.403	0.686	0.46	0.78	0.511	0.842	0.637	0.89	0.702	0.911	0.83	0.957	1.008	0.974	1.244	0.957	1.61	0.979
Hump Mountain	1917	12	19	-999	0.355	0.562	0.403	0.69	0.46	0.798	0.511	0.843	0.637	0.883	0.702	0.911	0.83	0.955	1.008	0.969	1.244	0.972	1.61	0.978
Hump Mountain	1917	12	20	-999	0.355	0.581	0.403	0.714	0.46	0.817	0.511	0.95	0.637	0.901	0.702	0.93	0.83	0.967	1.008	0.97	1.244	0.97	1.61	0.986
Hump Mountain	1918	1	10	-999	0.355	0.577	0.403	0.72	0.46	0.792	0.511	0.83	0.637	0.875	0.702	0.92	0.83	0.946	1.008	0.961	1.244	0.961	1.61	0.973
Hump Mountain	1918	1	12	-999	0.355	0.614	0.403	0.67	0.46	0.791	0.511	0.858	0.637	0.929	0.702	0.939	0.83	0.964	1.008	0.967	1.244	0.968	1.61	0.975
Hump Mountain	1918	2	4	-999	0.355	0.572	0.403	0.67	0.46	0.789	0.511	0.841	0.637	0.89	0.702	0.913	0.83	0.942	1.008	0.955	1.244	0.953	1.61	0.946
Hump Mountain	1918	2	6	-999	0.355	0.544	0.403	0.691	0.46	0.813	0.511	0.871	0.637	0.9	0.702	0.917	0.83	0.959	1.008	0.964	1.244	0.954	1.61	0.974
Hump Mountain	1918	2	10	-999	0.355	0.55	0.403	0.667	0.46	0.755	0.511	0.806	0.637	0.85	0.702	0.901	0.83	0.931	1.008	0.94	1.244	0.945	1.61	0.952
Hump Mountain	1918	2	11	-999	0.355	0.565	0.403	0.69	0.46	0.756	0.511	0.805	0.637	0.86	0.702	0.9	0.83	0.949	1.008	0.968	1.244	0.962	1.61	0.975
Hump Mountain	1918	2	17	-999	0.355	0.553	0.403	0.688	0.46	0.779	0.511	0.865	0.637	0.9	0.702	0.937	0.83	0.966	1.008	0.976	1.244	0.972	1.61	0.971
Hump Mountain	1918	2	18	-999	0.355	0.562	0.403	0.69	0.46	0.792	0.511	0.832	0.637	0.868	0.702	0.906	0.83	0.939	1.008	0.955	1.244	0.946	1.61	0.964
Hump Mountain	1918	2	23	-999	0.355	0.621	0.403	0.726	0.46	0.817	0.511	0.868	0.637	0.904	0.702	0.926	0.83	0.957	1.008	0.967	1.244	0.971	1.61	0.973
Hump Mountain	1918	2	26	-999	0.355	0.598	0.403	0.693	0.46	0.799	0.511	0.854	0.637	0.894	0.702	0.944	0.83	0.966	1.008	0.975	1.244	0.973	1.61	0.975
Hump Mountain	1918	2	28	-999	0.355	0.568	0.403	0.694	0.46	0.807	0.511	0.835	0.637	0.879	0.702	0.915	0.83	0.949	1.008	0.967	1.244	0.972	1.61	0.982
Hump Mountain	1918	3	2	-999	0.355	0.551	0.403	0.653	0.46	0.803	0.511	0.834	0.637	0.881	0.702	0.926	0.83	0.953	1.008	0.973	1.244	0.964	1.61	0.977
Hump Mountain	1918	3	8	-999	0.355	0.574	0.403	0.687	0.46	0.791	0.511	0.935	0.637	0.878	0.702	0.912	0.83	0.961	1.008	0.975	1.244	0.968	1.61	0.987
Hump Mountain	1918	3	11	-999	0.355	0.553	0.403	0.684	0.46	0.776	0.511	0.83	0.637	0.884	0.702	0.914	0.83	0.959	1.008	0.976	1.244	0.964	1.61	0.972
Hump Mountain	1918	3	18	-999	0.355	0.605	0.403	0.688	0.46	0.806	0.511	0.855	0.637	0.904	0.702	0.936	0.83	0.959	1.008	0.964	1.244	0.966	1.61	0.971
